time,open,high,low,close,tick_volume,spread,real_volume
2024-07-22 00:00:00,203.215,203.217,203.215,203.216,8,234,0
2024-07-22 00:15:00,203.216,203.23,203.188,203.229,160,196,0
2024-07-22 00:30:00,203.231,203.319,203.23,203.275,564,93,0
2024-07-22 00:45:00,203.275,203.311,203.196,203.213,2492,117,0
2024-07-22 01:00:00,203.23,203.463,203.213,203.322,681,14,0
2024-07-22 01:15:00,203.31,203.429,203.304,203.422,1377,12,0
2024-07-22 01:30:00,203.422,203.448,203.362,203.406,403,12,0
2024-07-22 01:45:00,203.405,203.436,203.334,203.404,464,12,0
2024-07-22 02:00:00,203.404,203.42,203.3,203.337,1367,12,0
2024-07-22 02:15:00,203.336,203.444,203.328,203.403,998,12,0
2024-07-22 02:30:00,203.403,203.446,203.321,203.42,994,12,0
2024-07-22 02:45:00,203.421,203.594,203.421,203.586,1730,12,0
2024-07-22 03:00:00,203.584,203.592,203.431,203.482,2499,12,0
2024-07-22 03:15:00,203.483,203.538,203.435,203.515,1761,12,0
2024-07-22 03:30:00,203.513,203.582,203.478,203.521,1247,12,0
2024-07-22 03:45:00,203.521,203.577,203.468,203.526,1965,12,0
2024-07-22 04:00:00,203.526,203.564,203.434,203.5,1921,12,0
2024-07-22 04:15:00,203.5,203.519,203.372,203.504,1508,12,0
2024-07-22 04:30:00,203.505,203.52,203.463,203.486,1654,12,0
2024-07-22 04:45:00,203.488,203.528,203.434,203.469,1556,12,0
2024-07-22 05:00:00,203.472,203.545,203.422,203.53,2002,12,0
2024-07-22 05:15:00,203.529,203.548,203.458,203.48,1437,12,0
2024-07-22 05:30:00,203.48,203.606,203.48,203.547,1671,12,0
2024-07-22 05:45:00,203.547,203.606,203.533,203.578,1750,12,0
2024-07-22 06:00:00,203.577,203.605,203.54,203.548,1200,12,0
2024-07-22 06:15:00,203.548,203.603,203.531,203.597,762,12,0
2024-07-22 06:30:00,203.597,203.598,203.518,203.524,881,12,0
2024-07-22 06:45:00,203.522,203.537,203.451,203.5,1135,12,0
2024-07-22 07:00:00,203.5,203.501,203.381,203.406,1597,12,0
2024-07-22 07:15:00,203.408,203.501,203.402,203.431,1417,12,0
2024-07-22 07:30:00,203.431,203.499,203.427,203.456,631,12,0
2024-07-22 07:45:00,203.456,203.483,203.37,203.375,821,12,0
2024-07-22 08:00:00,203.375,203.375,203.123,203.162,1368,12,0
2024-07-22 08:15:00,203.16,203.169,202.765,202.872,2154,12,0
2024-07-22 08:30:00,202.872,202.98,202.854,202.887,1908,12,0
2024-07-22 08:45:00,202.887,202.919,202.774,202.776,1665,12,0
2024-07-22 09:00:00,202.774,202.795,202.116,202.352,4067,12,0
2024-07-22 09:15:00,202.352,202.44,202.062,202.187,3415,12,0
2024-07-22 09:30:00,202.208,202.242,201.946,201.988,4216,12,0
2024-07-22 09:45:00,201.993,202.142,201.885,202.083,3188,12,0
2024-07-22 10:00:00,202.088,202.352,202.053,202.192,4047,12,0
2024-07-22 10:15:00,202.193,202.384,202.1,202.373,3521,12,0
2024-07-22 10:30:00,202.373,202.64,202.266,202.625,2875,12,0
2024-07-22 10:45:00,202.624,202.71,202.508,202.655,2549,12,0
2024-07-22 11:00:00,202.655,202.682,202.498,202.682,2923,12,0
2024-07-22 11:15:00,202.682,202.775,202.643,202.774,2483,12,0
2024-07-22 11:30:00,202.774,202.859,202.738,202.738,2874,12,0
2024-07-22 11:45:00,202.741,202.892,202.693,202.698,3181,12,0
2024-07-22 12:00:00,202.694,202.75,202.586,202.593,3195,12,0
2024-07-22 12:15:00,202.592,202.653,202.522,202.614,2324,12,0
2024-07-22 12:30:00,202.614,202.64,202.542,202.6,2043,12,0
